X,Y,Number,Name,Latitude,Longitude,District,Public_,Total_docks,ObjectId
-7916435.75002762,5200692.99413241,E32014,Ross Playground,42.2645666,-71.1145523,Boston,Yes,19,115
-7909327.63318615,5214628.77617717,D32008,Rowes Wharf at Atlantic Ave,42.357143,-71.050699,Boston,Yes,14,116
-7914278.23358071,5210719.027364,C32001,Roxbury Crossing T Stop - Columbus Ave at Tremont St,42.331184,-71.095171,Boston,Yes,23,117
-7912859.99877772,5208714.89443111,B32022,Roxbury YMCA - Warren St at MLK Blvd,42.31787329,-71.08243078,Boston,Yes,10,118
-7913478.36185115,5211481.06752133,B32002,Ruggles T Stop - Columbus Ave at Melnea Cass Blvd,42.33624445,-71.08798563,Boston,Yes,26,119
-7909991.65394873,5208680.07389758,C32031,Ryan Playground - Dorchester Ave at Harbor View St,42.317642,-71.056664,Boston,Yes,0,120
-7916028.25389962,5210179.94182024,E32007,S Huntington Ave at Heath St,42.32760387,-71.1108917,Boston,Yes,15,121
-7890402.44144051,5239479.90292326,T32001,Salem Ferry Landing,42.52189284,-70.88069111,Salem,Yes,11,122
-7892200.12765219,5239797.26780861,T32012,Salem MBTA - Lower Level,42.523994,-70.89684,Salem,Yes,11,123
-7892118.99021493,5239715.46054933,T32005,Salem MBTA - Washington at Federal St,42.52345239,-70.89611113,Salem,Yes,13,124
-7891970.89410397,5236449.18720475,T32007 ,Salem State University - Bike Path at Loring Ave,42.50182399,-70.89478076,Salem,Yes,15,125
-7891599.44767987,5236676.88690294,T32009,Salem State University - North Campus,42.503332,-70.891444,Salem,Yes,11,126
-7889236.17941812,5241409.83017202,T32002,Salem Willows Park,42.53466911,-70.8702144,Salem,Yes,15,127
-7909683.96687618,5207619.96741515,C32033,Savin Hill T Stop - S Sydney St at Bay St,42.3106,-71.0539,Boston,Yes,14,128
-7909046.50360452,5214031.50686318,C32036,Seaport Blvd at Sleeper St,42.35317809,-71.04817357,Boston,Yes,15,129
-7908323.35772079,5213373.58577619,B32014,Seaport Hotel - Congress St at Seaport Ln,42.34881026,-71.04167744,Boston,Yes,19,130
-7908622.07355558,5213776.01085077,B32007,Seaport Square - Seaport Blvd at Northern Ave,42.35148193,-71.04436085,Boston,Yes,19,131
-7914738.07881245,5216355.64631724,M32063,Sennott Park Broadway at Norfolk Street,42.36860524,-71.09930186,Cambridge,Yes,19,132
-7912631.88176399,5211421.08331318,D32059,Shawmut Ave at Lenox St,42.33584613,-71.08038157,Boston,Yes,19,133
-7910985.49766461,5213333.6962153,D32048,Shawmut Ave at Oak St W,42.34854543,-71.06559185,Boston,Yes,15,134
-7911003.10284208,5204958.48175566,E32009,Shawmut T Stop,42.292917,-71.06575,Boston,Yes,19,135
-7891385.67306933,5238947.50740825,T32003,Shetland Park - Congress at Peabody St,42.51836788,-70.88952363,Salem,Yes,11,136
-7915253.73184451,5214720.68275251,M32047,Sidney Research Campus/Erie Street at Waverly,42.35775309,-71.10393405,Cambridge,Yes,19,137
-7914879.90652289,5213476.87495909,D32032,Silber Way,42.349496,-71.10057592,Boston,Yes,19,138
-7920446.70482678,5219941.12865173,M32069,Smith Pl at Wilson Rd,42.39239749,-71.15058332,Cambridge,Yes,19,139
-7916850.23701964,5215701.48538122,A32006,Soldiers Field Park - 111 Western Ave,42.36426344,-71.1182757,Boston,Yes,15,140
-7914606.51475906,5219104.09841938,S32001,Somerville City Hall,42.386844,-71.09812,Somerville,Yes,19,141
-7914532.34926151,5219865.85983597,S32036,Somerville City Hall Annex,42.39189812,-71.09745376,Somerville,Yes,19,142
-7914371.63063349,5219037.18127909,S32048,Somerville High School & Central Library,42.3864,-71.09601,Somerville,Yes,17,143
-7915769.38265017,5219647.02191036,S32020,Somerville Hospital,42.39044622,-71.10856622,Somerville,Yes,15,144
-7907999.70298048,5211405.2515333,C32017,South Boston Library - 646 E Broadway,42.335741,-71.03877,Boston,Yes,15,145
-7912238.41523142,5212247.25041428,A32009,South End Library - Tremont St at W Newton St,42.341332,-71.076847,Boston,Yes,15,146
-7909867.31007752,5213880.40855399,A32010,South Station - 700 Atlantic Ave,42.352175,-71.055547,Boston,Yes,45,147
-7909130.37504847,5217822.20506105,D32023,Spaulding Rehabilitation Hospital - Charlestown Navy Yard,42.378338,-71.048927,Boston,Yes,19,148
-7921875.08528817,5202636.32260437,C32087,Spring St at Powell St,42.27748444,-71.16341468,Boston,Yes,19,149
-7915626.95938046,5212979.98740855,K32007,St Mary's,42.34619708,-71.10728681,Brookline,Yes,15,150
-7914954.55292064,5211036.54103692,B32063,St. Alphonsus St at Tremont St,42.33329255,-71.10124648,Boston,Yes,18,151
-7909540.14209408,5212669.70874905,C32024,State Street at Channel Center,42.344137,-71.052608,Boston,Yes,19,152
