,Unnamed: 0,electricity-kWh,startDay,endDay,RH-%,T-C,Tdew-C,pressure-mbar,solarRadiation-W/m2,windDirection,windSpeed-m/s,humidityRatio-kg/kg,coolingDegrees,heatingDegrees,dehumidification,occupancy
71,2012-03-15,5637.7240367569,2012-03-15,2012-03-16,78.3333333333333,3.54166666666667,0.0166666666666667,1019.125,133.5,102.5,3.94676241666667,0.0037693416158163,0.0,11.4583333333333,0.0,0.4
72,2012-03-16,5727.27569465619,2012-03-16,2012-03-17,78.625,5.04166666666667,1.56666666666667,1014.625,74.875,197.5,2.38426116666667,0.00427568284891338,0.0,9.95833333333333,0.0,0.4
73,,,,,,,,,,,,,,,,
74,2012-03-18,4755.61707527842,2012-03-18,2012-03-19,64.4583333333333,13.25,5.84583333333333,1015.0,176.083333333333,223.75,4.59491108333333,0.00577329799557536,3.54166666666667,3.875,0.0,0.4
75,2012-03-19,6155.47419477347,2012-03-19,2012-03-20,70.8333333333333,12.875,7.0875,1013.45833333333,208.125,169.166666666667,3.62268808333333,0.00623858618286798,2.25,3.45833333333333,0.0,0.975
76,2012-03-20,6174.91924784519,2012-03-20,2012-03-21,70.875,12.9083333333333,7.45,1016.58333333333,220.541666666667,203.75,2.76620591666667,0.0064784111320324,2.7,3.125,0.0,1.0
77,2012-03-21,6346.42696502432,2012-03-21,2012-03-22,67.9166666666667,19.1666666666667,12.6,1016.33333333333,231.916666666667,231.25,4.7916705,0.00901117575031679,7.16666666666667,0.125,0.000226603475375527,1.0
78,2012-03-22,6595.03642989509,2012-03-22,2012-03-23,59.2083333333333,20.9166666666667,11.6208333333333,1010.33333333333,196.708333333333,252.5,4.56018883333333,0.00851007298856576,8.91666666666667,0.0833333333333333,0.000135647778532249,1.0
79,2012-03-23,6369.52570454031,2012-03-23,2012-03-24,39.3333333333333,19.375,3.4625,1008.66666666667,231.208333333333,246.666666666667,3.888892,0.0052865187096809,7.375,0.0,0.0,1.0
80,2012-03-24,4845.88311139308,2012-03-24,2012-03-25,56.5,9.20833333333333,0.420833333333334,1011.04166666667,231.166666666667,122.916666666667,3.86574383333333,0.00396150312334178,0.291666666666667,5.83333333333333,0.0,0.5
81,2012-03-25,4639.33115534764,2012-03-25,2012-03-26,76.7083333333333,7.16666666666667,3.15,1003.66666666667,27.75,103.75,3.20602108333333,0.00481020388149741,0.0,7.83333333333333,0.0,0.5
82,,,,,,,,,,,,,,,,
83,2012-03-27,6885.34372132458,2012-03-27,2012-03-28,19.125,2.91666666666667,-17.3,1010.95833333333,272.291666666667,323.75,6.49306075,0.000824333321641742,0.0,12.0833333333333,0.0,1.0
84,2012-03-28,6631.91447627172,2012-03-28,2012-03-29,54.2916666666667,7.125,-2.3625,1001.25,183.583333333333,185.416666666667,3.66898441666667,0.00371884945037344,0.0,7.875,0.0,1.0
85,2012-03-29,6798.14476137236,2012-03-29,2012-03-30,70.125,6.25,0.887499999999999,998.083333333333,84.75,207.916666666667,4.96528175,0.0041755924953087,0.0,8.75,0.0,1.0
