pixelPlant,pixelPole,pixelLake,pixelRoad,pixelGrass,pixelWall,pixelCar,propertiesAsses,pixelSea,numCraigslistHouse,pixelRiver,pixelBus,pixelCeiling,pixelPath,pixelBuilding,crime,pixelFence,walkSchool,walkMbta,energySiteEUI,pixelPerson,pixelTree,pixelVan,walkPark,walkUniversity,pixelSidewalk,pixelGround,pixelMountain,pixelPalmTree,pixelHouse,pixelBridge,pixelSign,pixelRailing,pixelField,pixelWindow,pixelGrandstand,numCraigslistRoom,pixelSky,Latitude,Longitude,Address,Zip,RoomType,Bathrooms,SQFT,SQM,Price
0,0.035,50.87,1.745,0,0.514,2.51,258957439,0,0,0,0,0,0,0,14,0,22,6,0,2.51,4.223,0,38,14,2.564,0,0,0.116,1.925,0,0.04,1.297,0,0,0,0,23.75,42.358063,-71.06974,97 Mount Vernon St Boston 02108,2108,2,2,850,78.96755,3200
0,0.004,34.12,0.217,0,4.409,22.56,173725104,0,0,0,0,0,0,0,14,0,31,6,145,22.56,0,0,34,18,1.013,0,0,0.175,2.47,0,0.068,0.078,0.952,0,0,0,27.81,42.356266,-71.070145,Beacon Hill Boston 02108,2108,2,2,,0,5200
0,0.064,65.1,5.703,0,2.072,2.322,296478672,0,1,0,0.262,0.002,0,0,21,0,29,11,1827.4,2.322,0,0.716,46,23,2.552,0,0,0.008,4.369,0,0.385,0,0,0.253,0,2,6.687,42.35803,-71.059425,45 School St #5 Boston 02108,2108,2,1,,0,1650
0,0.004,34.12,0.217,0,4.409,22.56,173725104,0,0,0,0,0,0,0,14,0,31,6,145,22.56,0,0,34,18,1.013,0,0,0.175,2.47,0,0.068,0.078,0.952,0,0,0,27.81,42.356266,-71.070145,71 Beacon St Boston 02108,2108,2,2,,0,5200
0,0,37.65,1.242,0,0.694,0.02,216929815,0,0,0,0,0,0.804,0,35,0,34,12,965.3,0.02,9.99,0,56,24,0.016,0,0,0,9.59,0,1.123,0,0,0,0,0,24.04,42.35554,-71.06136,1 Winter Pl #2 Boston 02108,2108,2,3,3435,319.121805,12000
0,0.004,34.12,0.217,0,4.409,22.56,173725104,0,0,0,0,0,0,0,14,0,31,6,145,22.56,0,0,34,18,1.013,0,0,0.175,2.47,0,0.068,0.078,0.952,0,0,0,27.81,42.356773,-71.06997,15 River St Boston 02108,2108,2,1,750,69.67725,3850
0,0.004,34.12,0.217,0,4.409,22.56,173725104,0,0,0,0,0,0,0,14,0,31,6,145,22.56,0,0,34,18,1.013,0,0,0.175,2.47,0,0.068,0.078,0.952,0,0,0,27.81,42.35678,-71.069984,17 River St Boston 02108,2108,2,1,750,69.67725,3850
0,0.007,47.61,1.75,0,1.369,11.12,216805996,0,0,0,0,0,0,0,11,0,29,10,0,11.12,0.391,0,41,19,4.051,0,0,0,3.799,0,0.352,0.115,0,0,0,3,27.67,42.35814,-71.0659,34 Mount Vernon St Boston 02108,2108,,1,,0,2025
0,0.005,11.29,5.07,0,0,0.298,84790141,0,0,0,0.661,0,0.09,0,0,0,33,8,0,0.298,17.96,0,43,20,0.093,0,0,0,2.768,0,0.201,0,0.44,0,0,0,49.75,42.35764,-71.06825,7 Willow St Boston 02108,2108,3,3,2200,204.3866,8900
0,0,0,0,0,0,0,10704800,0,0,0,0,0,0,0,5,0,7,0,260.9,0,0,0,42,1,0,0,0,0,0,0,0,0,0,0,0,0,0,42.252857,-71.11705,21 Beacon St Boston 02108,2108,2,2,,0,3550
