,Latitude,Longitude,crime,Bathrooms,SQFT,Price,energySiteEUI
6857,42.359764,-71.13651,1,1.0,,2500.0,19.4
6858,42.347076,-71.135185,5,1.0,,1720.0,176.3
6859,42.35015,-71.13678,4,2.0,,4600.0,80.0
6860,42.34803,-71.13767,10,1.0,,1875.0,58.6
6861,42.358135,-71.12717,5,1.0,,1900.0,605.7
6862,42.35822,-71.12695,5,1.0,,1950.0,605.7
6865,42.358128,-71.12719,5,1.0,,1725.0,605.7
6866,42.35822,-71.12695,5,1.0,,1900.0,605.7
6872,42.34675,-71.137085,10,1.0,,1750.0,58.6
6873,42.352654,-71.137215,2,1.0,,2525.0,158.7
6878,42.34667,-71.13694,10,1.0,,1750.0,58.6
6881,42.35388,-71.13863,5,1.0,,1450.0,141.5
6883,42.348526,-71.136406,10,1.0,,2950.0,58.6
6884,42.354275,-71.13057,16,1.0,,2200.0,34.8
6886,42.354275,-71.13057,16,1.0,,2200.0,34.8
6892,42.347412,-71.134766,5,2.0,,2300.0,176.3
6896,42.348587,-71.132965,2,1.0,,1650.0,26.8
6897,42.34745,-71.13665,10,1.0,,1500.0,58.6
6899,42.354393,-71.132195,16,1.0,,1525.0,34.8
6900,42.35325,-71.13793,5,1.0,,1900.0,141.5
6903,42.34745,-71.13665,10,2.0,,2800.0,58.6
6904,42.34745,-71.13665,10,1.0,,1500.0,58.6
6906,42.352665,-71.138336,2,1.0,,1300.0,158.7
6907,42.362545,-71.134895,2,1.0,,1950.0,149.8
6908,42.350357,-71.1361,4,1.0,,2900.0,80.0
6916,42.352898,-71.13594,2,1.0,,1450.0,158.7
6922,42.347313,-71.136734,10,1.0,,1750.0,58.6
6923,42.355194,-71.131485,16,3.0,,975.0,34.8
6925,42.353863,-71.13849,5,,,2450.0,141.5
6926,42.348278,-71.138405,10,1.0,,1975.0,58.6
6928,42.348057,-71.13283,2,1.0,,1900.0,26.8
6929,42.354122,-71.13212,16,1.0,,1700.0,34.8
6931,42.346855,-71.13416,5,1.0,,1800.0,176.3
6938,42.34439,-71.14237,7,1.0,,1500.0,276.4
6946,42.348377,-71.1313,2,2.0,,4100.0,26.8
6949,42.34642,-71.13564,5,1.0,900,2095.0,176.3
